-4.13687	1.24082	1.75519	1.67410	1.47470	-3.28024	-1.87698
0.36031	0.13628	0.32410	0.31679	0.20579	0.26811	0.19533
0.10234	0.20261	0.32052	0.41632	0.31290	0.18353	0.13647
0.41091	0.09182	0.20810	0.35653	0.40509	0.22983	0.46190
0.16248	0.17191	0.17771	0.24167	0.31909	0.28078	0.22817
0.28806	0.10599	0.17787	0.15347	0.40248	0.29384	0.38454
0.11044	0.09270	0.12618	0.00480	0.28880	0.29971	0.27575
0.22457	0.14489	0.10028	0.02278	0.43175	0.31373	0.43019
0.11884	0.00722	0.01569	-0.10254	0.16427	0.42281	0.26833
0.14878	0.08070	0.23068	-0.11142	0.35711	0.44598	0.48611
0.10822	0.01396	0.03777	0.08217	0.28401	0.31035	0.37700
1.58277	-0.27969	-0.40729	-0.08112	0.67364	0.65320	0.59962
