6.13583	2.49696	7.85784	0.08325	0.70021	3.40723	1.02785
0.12076	0.17562	0.46289	0.35615	0.17824	0.17002	0.34784
0.37976	0.30463	0.59529	0.36687	0.32874	0.42880	0.20950
-0.14798	0.15965	0.14796	0.45630	0.45668	0.24668	0.18448
0.25182	0.24053	0.37165	0.26860	0.38001	0.28869	0.31273
0.06215	0.23942	0.27893	0.33500	0.42131	0.32072	0.41468
0.33984	0.35437	0.42930	0.23487	0.46242	0.37754	0.36822
0.14000	0.36879	0.35336	0.51717	0.45913	0.58455	0.41926
0.27832	0.95525	0.98157	0.50032	0.64506	0.64268	0.92392
0.27865	0.77543	0.78922	0.67064	0.53692	0.76463	1.00238
0.37717	1.04210	0.93992	0.51465	0.90679	0.83584	1.11618
-0.43192	1.24033	1.46154	0.09851	2.54690	-0.93431	2.29643
