7.89102	-2.00556	0.18350	-5.23628	-4.41981	9.99459
-0.38056	0.36939	0.38695	0.79026	0.59483	-0.11066
0.35734	0.11962	0.20878	0.19866	0.31398	0.43793
-0.05590	0.25548	0.33590	0.34811	0.34621	0.23598
0.24917	0.21800	0.29520	0.24890	0.35389	0.27086
0.08321	0.37005	0.37551	0.33488	0.43512	0.28770
0.22541	0.35694	0.36497	0.42433	0.48074	0.43668
0.20806	0.94740	0.92216	0.64492	0.50931	0.61012
0.30319	0.75301	0.76195	0.66791	0.51189	0.68347
0.37231	1.00274	0.91361	0.61727	0.76175	0.91585
-0.22264	0.83306	1.51791	1.92362	1.13733	1.00765
