-2.74607	1.06474	-3.01228	-2.76032	1.49554	4.07245
0.47131	0.08863	0.52485	0.72038	0.19965	0.27956
0.12737	0.15966	0.05614	0.23340	0.44423	0.20596
0.36766	0.12610	0.25831	0.28836	0.29785	0.27656
0.15275	0.13134	0.12024	0.13450	0.40361	0.23827
0.27888	0.05575	0.18474	0.01976	0.27222	0.28784
0.14904	0.15738	0.05315	0.08115	0.27600	0.48315
0.16065	0.01711	0.04347	-0.18231	0.25415	0.40968
0.12649	0.10071	0.21439	-0.10891	0.32375	0.54652
0.13174	0.05116	0.05480	0.01938	0.39547	0.22524
1.17578	0.34270	-0.23618	-0.94533	1.58907	-0.10563
